nombre_comuna;nombre_barrio;zona;sitio_atencion;direccion_sitio_atencion;disciplina_y_o_actividad;Lunes;Martes;Miercoles;Jueves;Viernes;sabado;Domingo;hora_inicio;hora_fin;corregimiento;vereda;nivel deportivo;programa;MONITOR;nombre grupo
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1890;RECREO DEPORTIVO;Lunes;;;;Viernes;;;1:55PM-2:50PM;2:50pm-3:45pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2311
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1891;RECREO DEPORTIVO;Lunes;;Miercoles;;;;;2:50PM-2:50PM;3:45pm-3:35pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2312
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1892;RECREO DEPORTIVO;;Martes;;;;;;1:00PM;1:55pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2313
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1893;RECREO DEPORTIVO;Lunes;;;Jueves;;;;1:55PM-1:55PM;2:50pm-2:50pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2314
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1894;RECREO DEPORTIVO;;Martes;;Jueves;;;;2:55PM-2:55PM;3:45pm-3:45pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2315
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1895;RECREO DEPORTIVO;;;Miercoles;;Viernes;;;1:00PM-1:00PM;1:55pm-1:55pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2316
18;Prados del Sur;Urbana;I.E JUAN PABLO II- ALVARO ESCOBAR NAVIA;1896;RECREO DEPORTIVO;;;Miercoles;;Viernes;;;1:55PM-1:55PM;2:50pm-2:50pm;;;No aplica;Deporte Escolar;CRISTIAN HINESTROSA;2317
18;Napoles;Urbana;CASA SEMILLAS NASA CALI;carrera 83 # 1B oeste - 25;SESIONES LUDICOPEDAGOGICAS;;;;Jueves;;;;10:00.am;11:00.am;;;No aplica;Poblacion y Etnias;JHON YATACUE;PYE-IND.SESION-C02-CASA  SEMILLAS ALTO  MENGA - JHON YATACUE-G05
18;Napoles;Urbana;CASA SEMILLAS NASA CALI;carrera 83 # 1B oeste - 25;SESIONES LUDICOPEDAGOGICAS;;;;;Viernes;;;10:00.am;11:00.am;;;No aplica;Poblacion y Etnias;JHON YATACUE;PYE-IND.SESION-C18-CASA  SEMILLAS NASA 2- JHON YATACUE -G06
18;Napoles;Urbana;CASA SEMILLAS NASA CALI;carrera 83 # 1B oeste - 25;SESIONES LUDICOPEDAGOGICAS;;Martes;;;;;;10:00.am;11:00.am;;;No aplica;Poblacion y Etnias;JHON YATACUE;PYE-IND.SESION-C18-CASA  SEMILLAS NASA1 - JHON YATACUE-G02
18;Alto Nápoles;Urbana;Cabildo NASA UKAWE'SX THA'J;2D-10Carrera 76C Oeste;SESIONES LUDICOPEDAGOGICAS;;;;;Viernes;;;4:00.pm;5:00.pm;;;No aplica;Poblacion y Etnias;EDWIN FERNÁNDEZ;PYE-INDIGENA-C18- CABILDO NASA 1- EDWIN FERNANDEZ – G03
18;Meléndez;Urbana;CASA MAMA MARIA YALANDA;CALLE 4B # 95-200 Casa F.10;SESIONES LUDICOPEDAGOGICAS;Lunes;;;;;;;7:00.pm;8:00.pm;;;No aplica;Poblacion y Etnias;ANNY YALANDA;PYE-INDIGENA-C18- CASA MARIA YALANDA -ANNY YALANDA-G01
18;Alto Nápoles;Urbana;Cabildo NASA UKAWE'SX THA'J;2D-10Carrera 76C Oeste;SESIONES LUDICOPEDAGOGICAS;;;;Jueves;;;;9:30.am;10:30.am;;;No aplica;Poblacion y Etnias;EDWIN FERNÁNDEZ;PYE-INDIGENA-C18- CASA SEMILLA 1 NASA- EDWIN FERNANDEZ – G01
18;Alto Nápoles;Urbana;Cabildo NASA UKAWE'SX THA'J;2D-10Carrera 76C Oeste;SESIONES LUDICOPEDAGOGICAS;;;;Jueves;;;;10:30.am;11:30.am;;;No aplica;Poblacion y Etnias;EDWIN FERNÁNDEZ;PYE-INDIGENA-C18- CASA SEMILLA 2 NASA- EDWIN FERNANDEZ – G02
18;Napoles;Urbana;CPAMS EJECA - BATALLON PICHINCHA;calle 5 # 83 - 00;SESIONES LUDICOPEDAGOGICAS;;;;Jueves;;;;10:00.am;11:00.am;;;No aplica;Poblacion y Etnias;YORK MOSQUERA;PYE-INTRAMURAL-C18- BATALLON PICHINCHA-YORK ENRIQUE MOSQUERA-G03
18;Napoles;Urbana;CPAMS EJECA - BATALLON PICHINCHA;calle 5 # 83 - 00;SESIONES LUDICOPEDAGOGICAS;;;;Jueves;;;;11:00.am;12:00.pm;;;No aplica;Poblacion y Etnias;YORK MOSQUERA;PYE-INTRAMURAL-C18- BATALLON PICHINCHA-YORK ENRIQUE MOSQUERA-G04
18;Los Farallones;Urbana;ASOBOSUR;CLLE 1C  # 71 - 63;SESIONES LUDICOPEDAGOGICAS;;Martes;;;;;;9:00.am;10:00.am;;;No aplica;Poblacion y Etnias;DIANA TREJOS;PYE-RECICLADORES-C18-ASOBOSUR-DIANA MARCELA TREJOS-G03
18;AHDI- Palmas II;Urbana;ASTECAM;Calle  2 oeste # 70-13;SESIONES LUDICOPEDAGOGICAS;;Martes;;;;;;10:30.am;11:30.am;;;No aplica;Poblacion y Etnias;DIANA TREJOS;PYE-RECICLADORES-C18-ASTECAM-DIANA MARCELA TREJOS-G02
18;Francisco Eladio Ramirez;Urbana;Polideportivo  Francisco Eladio Ramirez;K 77 # 3;FUTBOL;;Martes;;;Viernes;;;15:00:00; 16:00:00;;343;Fundamentacion;Deporvida;EIDEREY HUMBERTO ARBOLEDA GONZALEZ;-
18;Alto Jordan ;Urbana;PARQUE ALTO JORDAN;K 88 # 2 Oeste;FUTBOL;;;Miercoles;;Viernes;;;16:00:00; 17:00:00;;347;Irradiacion;Deporvida;YAINER ESTIVEN LOPEZ CORTES;-
18;Melendez;Urbana;Unidad Recreativa Horizoantes;K 94 # 3B 00;FUTBOL;;Martes;;Jueves;;;;17:00:00; 18:00:00;;348;Fundamentacion;Deporvida;YAINER ESTIVEN LOPEZ CORTES;-
18;Lourdes;Urbana;Unidad Recreativa Lourdes;C 70 # 1A 30;FUTBOL;;;Miercoles;;Viernes;;;15:30:00; 17:00:00;;349;Fundamentacion;Deporvida;THEISSON Alirio IBARRA GUTIeRREZ;-
18;Alto Napoles;Urbana;CANCHA DE FUTBOL POLVO ROJO ALTO NAPOLES;K 78A # 2 00;FUTBOL;Lunes;;;Jueves;;;;15:30:00; 17:00:00;;350;Fundamentacion;Deporvida;THEISSON Alirio IBARRA GUTIeRREZ;-
18;Francisco Eladio Ramirez;Urbana;Polideportivo  Francisco Eladio Ramirez;K 77 # 3;FUTBOL;;Martes;;;Viernes;;;16:00:00; 17:00:00;;356;Fundamentacion;Deporvida;EIDEREY HUMBERTO ARBOLEDA GONZALEZ;-
18;Lourdes;Urbana;Unidad Recreativa Lourdes;C 70 # 1A 30;FUTBOL;Lunes;;;;Viernes;;;17:01:00; 18:00:00;;359;Irradiacion;Deporvida;THEISSON Alirio IBARRA GUTIeRREZ;-
18;Melendez;Urbana;Unidad Recreativa Horizoantes;K 94 # 3B 00;FUTBOL;Lunes;;;Jueves;;;;15:00:00; 16:00:00;;376;Irradiacion;Deporvida;YAINER ESTIVEN LOPEZ CORTES;-
18;Alto Napoles;Urbana;CANCHA DE FUTBOL POLVO ROJO ALTO NAPOLES;K 78A # 2 00;FUTBOL;Lunes;;Miercoles;;;;;14:00:00; 15:30:00;;475;Fundamentacion;Deporvida;ANDRES felipe CASTILLO ILLO;-
18;Polvorines;Urbana;CANCHA BALONCESTO SERVIVIENDA BAJO POLVORINES;K 94C # 1 Oeste 00;FUTBOL SALA;;;Miercoles;;Viernes;;;9:00:00; 11:00:00;;345;Irradiacion;Deporvida;DIEGO  ASTUDILLO ALVEAR;-
18;Polvorines;Urbana;CANCHA BALONCESTO SERVIVIENDA BAJO POLVORINES;K 94C # 1 Oeste 00;FUTBOL SALA;;;Miercoles;;Viernes;;;14:00:00; 15:45:00;;346;Fundamentacion;Deporvida;DIEGO  ASTUDILLO ALVEAR;-
18;Sector Alto Jordan;Urbana;PARQUE RECREATIVO LOS MANDARINOS;KR 94A1 CL 2B OE;FUTBOL SALA;;Martes;;Jueves;;;;16:00:00; 17:30:00;;409;Base;Deporvida;NAYDUTH  TORRES CALAPSU;-
18;Polvorines;Urbana;SEDE COMUNA ALTO POLVORINES;C 3C Oeste # 94 2 84;FUTBOL SALA;;Martes;;Jueves;;;;17:30:00; 19:00:00;;474;Apropiacion;Deporvida;NAYDUTH  TORRES CALAPSU;-
18;Polvorines;Urbana;CANCHA BALONCESTO SERVIVIENDA BAJO POLVORINES;K 94C # 1 Oeste 00;PATINAJE;Lunes;;Miercoles;;Viernes;;;16:00:00; 17:00:00;;455;Base;Deporvida;NATALIA  OCAMPO UMAÃ±A;-
18;Polvorines;Urbana;CANCHA BALONCESTO SERVIVIENDA BAJO POLVORINES;K 94C # 1 Oeste 00;PATINAJE;Lunes;;Miercoles;;Viernes;;;17:00:00; 18:00:00;;456;Irradiacion;Deporvida;NATALIA  OCAMPO UMAÃ±A;-
18;Melendez;Urbana;CANCHA MULTIPLE LA ARBOLEDA;K 93 BIS # 3 Oeste;VOLEIBOL;;Martes;;Jueves;;;;18:30:00; 19:45:00;;440;Irradiacion;Deporvida;ALEJANDRO  CARDONA CAICEDO;-
18;Melendez;Urbana;CANCHA MULTIPLE LA ARBOLEDA;K 93 BIS # 3 Oeste;VOLEIBOL;;Martes;;Jueves;;;;19:45:00; 21:00:00;;441;Fundamentacion;Deporvida;ALEJANDRO  CARDONA CAICEDO;-
